label,message
spam,"Win a FREE iPhone now! Click the link to claim your prize."
ham,"Hey, are we still on for dinner tonight?"
spam,"Congratulations! You’ve won a $500 Amazon gift card. Claim now!"
ham,"Can you send me the meeting notes from yesterday?"
spam,"Exclusive offer! Get cheap loans with 0% interest."
ham,"I’ll call you once I finish my class."
spam,"Claim your free vacation to Dubai. Limited time only!"
ham,"Don’t forget your appointment tomorrow at 10 AM."
spam,"Earn $1000 per week from home. No skills required!"
ham,"Can we meet after work to discuss the project?"
spam,"Click here to unlock your reward now!"
ham,"I’m running late but will be there soon."
spam,"You have been selected for a lucky draw! Reply YES to win."
ham,"Please bring your ID card for entry."
spam,"You won’t believe this! Free coupons available now."
ham,"Did you complete your assignment for tomorrow?"
spam,"Double your money in 7 days. Join our investment program!"
ham,"Let’s go out for coffee this weekend."
spam,"Final notice! Your subscription expires today. Renew now."
ham,"I’ll pick up the groceries on my way home."
spam,"You’ve been chosen for a free trial of Netflix Premium."
ham,"Could you email me the updated report?"
spam,"Claim your free $100 Walmart voucher. Hurry!"
ham,"My phone battery died earlier, sorry for the delay."
spam,"Lowest price ever! Buy 1 get 1 free today."
ham,"See you at the gym later?"
spam,"Update your account details to avoid suspension."
ham,"I’m cooking dinner, do you want to join?"
spam,"Act fast! Only 3 spots left for this exclusive offer."
ham,"I’ll send the document tonight before 9 PM."
spam,"Win cash prizes by entering our contest now!"
ham,"Let’s finalize the slides before the meeting."
spam,"You’re a lucky winner! Click here to confirm your prize."
ham,"Meeting has been postponed to Monday."
spam,"Limited time deal: Save 50% on your next order."
ham,"Thanks for the reminder, I’ll bring it tomorrow."
spam,"Free recharge of Rs.100! Only for today."
ham,"Where are you? I’ve been waiting for 10 minutes."
spam,"Important: Update your password immediately to keep your account safe."
ham,"Can you help me with this math problem?"
spam,"Your loan is approved. Click the link to receive funds."
ham,"Good luck on your exam tomorrow!"
spam,"You have 1 unread message with a cash reward."
ham,"Let’s plan something fun for the weekend."
spam,"Your car insurance is expiring soon. Renew now for a discount."
ham,"I just saw your email, I’ll reply soon."
spam,"Play and win! Cash rewards waiting for you."
ham,"The train will be delayed by 15 minutes."
spam,"Get instant credit card approval with no income proof."
ham,"I’m almost home, see you soon."
spam,"Win free movie tickets by filling this short survey."
ham,"That’s great news, congratulations!"
spam,"Exclusive deal for you! Claim your discount coupon."
ham,"I’m at the café, where are you?"
spam,"Your mobile number has won Rs.10,000! Call now to claim."
ham,"The weather looks nice today, let’s go for a walk."
spam,"Free access to premium courses for a limited time."
ham,"Don’t forget to water the plants today."
spam,"You’ve earned a free Uber ride. Redeem now."
ham,"I’ll be offline for a while, text me later."
spam,"Get up to 70% off on all electronics. Shop now!"
ham,"Thanks for your help earlier, I appreciate it."
spam,"You’re pre-approved for a personal loan of $10,000."
ham,"Can we reschedule our meeting for tomorrow?"
spam,"Your number is selected for a free hotel stay!"
ham,"What time are you coming home?"
spam,"Join now and earn rewards every day!"
ham,"Let’s have lunch together tomorrow."
spam,"Buy 2 get 1 free on all fashion items. Don’t miss out!"
ham,"Can you drop me at the station later?"
spam,"You’re a winner! Text CLAIM to receive your reward."
ham,"Do you know where Ali kept the keys?"
spam,"Unlock special discounts on health insurance today."
ham,"I’ll confirm the time and let you know."
spam,"Get 3 months of premium access absolutely free."
ham,"I’ve shared the presentation with you on Google Drive."
spam,"Free cash deposit waiting for you! Click to claim."
ham,"Happy birthday! Hope you have an amazing day."
spam,"You’ve won an iPad! Enter your details to receive it."
ham,"Call me when you’re free."
spam,"Exclusive membership available now at half price."
ham,"I’ll see you in class tomorrow."
spam,"Claim your free coupon worth $200 instantly."
ham,"We should plan a trip soon."
spam,"Free entry in a lottery draw this weekend."
ham,"Thanks, I got your message."
spam,"Special promotion for new users only. Join now!"
ham,"Let’s go shopping this evening."
spam,"Your reward points are expiring soon. Redeem now."
ham,"I finished reading that book you recommended."
spam,"Final warning! Your account will be blocked if not verified."
ham,"I’m heading out now, talk later."
spam,"You’re eligible for an instant cashback offer!"
ham,"I left my charger at your place, can you check?"
spam,"Limited seats left! Register for the webinar today."
ham,"Don’t worry, everything’s under control."
spam,"Instant approval! Apply now for your dream job."
ham,"Let’s meet at 6 near the mall."
spam,"Your PayPal account has been suspended. Verify immediately."
ham,"I’ve uploaded the photos to the drive."
spam,"You’re lucky! Free recharge credits waiting for you."
ham,"How’s your new job going?"
spam,"Win exciting rewards! Enter the lucky spin contest today."
ham,"Take care, see you tomorrow."
